name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,roc_auc
thr0.500,0.5,245.32,16.84,1.0,0.7519,0.8667,0.8374
thr0.525,0.525,253.47,17.4,1.034,0.7541,0.8667,0.8372
thr0.550,0.55,263.77,18.11,1.076,0.7572,0.85,0.8377
thr0.575,0.575,277.65,19.06,1.133,0.759,0.85,0.838
thr0.600,0.6,295.43,20.28,1.207,0.7598,0.85,0.8379
thr0.625,0.625,317.49,21.8,1.298,0.7597,0.8346,0.8377
thr0.650,0.65,345.69,23.73,1.414,0.7593,0.8346,0.8375
thr0.675,0.675,375.83,25.8,1.539,0.7581,0.8346,0.8362
thr0.700,0.7,408.06,28.01,1.672,0.7568,0.8346,0.8366
thr0.725,0.725,444.99,30.55,1.824,0.7543,0.8346,0.8368
thr0.750,0.75,486.26,33.38,1.995,0.7529,0.8346,0.836
thr0.775,0.775,531.64,36.5,2.182,0.7515,0.8346,0.8356
thr0.800,0.8,578.65,39.72,2.376,0.75,0.8346,0.835
thr0.825,0.825,632.91,43.45,2.6,0.7485,0.8346,0.8339
thr0.850,0.85,688.78,47.28,2.83,0.747,0.8179,0.8343
thr0.875,0.875,749.5,51.45,3.081,0.7465,0.8179,0.8338
thr0.900,0.9,822.19,56.44,3.381,0.7465,0.8179,0.8337
thr0.925,0.925,903.73,62.04,3.718,0.7464,0.8179,0.8339
thr0.950,0.95,1000.45,68.68,4.117,0.7462,0.8179,0.8341
thr0.975,0.975,1128.9,77.5,4.647,0.746,0.8179,0.8337
thr1.000,1.0,1456.65,100.0,6.0,0.7457,0.8179,0.8337
