name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7524,0.8051,0.8051,0.8461
thr0.525,0.525,21.31,19.55,1.036,0.7518,0.8051,0.8051,0.8447
thr0.550,0.55,22.1,20.27,1.081,0.7544,0.8051,0.8051,0.8447
thr0.575,0.575,23.16,21.25,1.141,0.7528,0.8051,0.8051,0.8432
thr0.600,0.6,24.6,22.57,1.223,0.7513,0.8218,0.8218,0.8414
thr0.625,0.625,26.51,24.31,1.331,0.7498,0.8218,0.8218,0.8403
thr0.650,0.65,28.67,26.29,1.453,0.7494,0.8218,0.8218,0.8376
thr0.675,0.675,31.21,28.62,1.596,0.7484,0.8218,0.8218,0.8366
thr0.700,0.7,33.94,31.13,1.751,0.7476,0.8218,0.8218,0.8356
thr0.725,0.725,36.85,33.8,1.916,0.7463,0.8218,0.8051,0.8348
thr0.750,0.75,40.05,36.74,2.097,0.7437,0.8051,0.8051,0.8324
thr0.775,0.775,43.14,39.57,2.272,0.7417,0.8218,0.8051,0.8308
thr0.800,0.8,46.97,43.08,2.488,0.741,0.8218,0.8051,0.8294
thr0.825,0.825,51.21,46.97,2.728,0.7403,0.8218,0.8051,0.8284
thr0.850,0.85,55.42,50.83,2.967,0.74,0.8218,0.8051,0.829
thr0.875,0.875,60.17,55.18,3.235,0.7392,0.8218,0.8051,0.829
thr0.900,0.9,65.4,59.99,3.531,0.7388,0.8218,0.8051,0.829
thr0.925,0.925,71.54,65.62,3.879,0.7392,0.8218,0.8051,0.8305
thr0.950,0.95,78.9,72.37,4.295,0.7389,0.8218,0.8051,0.8305
thr0.975,0.975,88.37,81.06,4.831,0.7392,0.8218,0.8051,0.8306
thr1.000,1.0,109.03,100.0,6.0,0.7392,0.8218,0.8051,0.8321
