name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7512,0.8359,0.8205,0.8409
thr0.525,0.525,21.4,19.63,1.041,0.7562,0.8526,0.8205,0.8401
thr0.550,0.55,22.49,20.62,1.103,0.76,0.8359,0.8205,0.8395
thr0.575,0.575,23.84,21.87,1.179,0.7611,0.8526,0.8205,0.8386
thr0.600,0.6,25.58,23.46,1.278,0.7651,0.8372,0.8205,0.8378
thr0.625,0.625,27.71,25.42,1.399,0.7654,0.8205,0.8205,0.8373
thr0.650,0.65,30.17,27.67,1.537,0.767,0.8205,0.8038,0.8363
thr0.675,0.675,32.89,30.17,1.692,0.7674,0.8038,0.8038,0.8354
thr0.700,0.7,35.7,32.75,1.851,0.7663,0.7872,0.7872,0.8339
thr0.725,0.725,38.7,35.5,2.02,0.7668,0.8038,0.7872,0.8325
thr0.750,0.75,41.94,38.47,2.204,0.7676,0.7872,0.7872,0.8311
thr0.775,0.775,45.29,41.54,2.393,0.7665,0.8038,0.7872,0.8315
thr0.800,0.8,49.06,45.0,2.607,0.7652,0.8038,0.8038,0.8296
thr0.825,0.825,53.26,48.85,2.844,0.7643,0.8038,0.8038,0.8286
thr0.850,0.85,57.54,52.78,3.087,0.7651,0.7872,0.8038,0.8283
thr0.875,0.875,62.73,57.54,3.38,0.7646,0.7872,0.8038,0.8276
thr0.900,0.9,68.31,62.65,3.696,0.7648,0.7872,0.8038,0.8268
thr0.925,0.925,74.95,68.75,4.072,0.7646,0.7872,0.8038,0.8257
thr0.950,0.95,82.73,75.88,4.512,0.7639,0.7872,0.8038,0.8251
thr0.975,0.975,92.69,85.02,5.076,0.7636,0.7872,0.8038,0.8252
thr1.000,1.0,109.03,100.0,6.0,0.7633,0.7872,0.8038,0.8245
