name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7692,0.8692,0.8692,0.8546
thr0.525,0.525,21.43,19.66,1.043,0.7734,0.8692,0.8692,0.8549
thr0.550,0.55,22.45,20.6,1.101,0.7755,0.8692,0.8692,0.8555
thr0.575,0.575,23.69,21.72,1.171,0.7786,0.8692,0.8692,0.8559
thr0.600,0.6,25.25,23.16,1.259,0.7811,0.8692,0.8692,0.8566
thr0.625,0.625,27.2,24.95,1.37,0.7832,0.8692,0.8692,0.8568
thr0.650,0.65,29.36,26.93,1.492,0.7854,0.8692,0.8692,0.8571
thr0.675,0.675,31.71,29.08,1.625,0.786,0.8692,0.8692,0.857
thr0.700,0.7,34.26,31.42,1.769,0.7865,0.8859,0.8692,0.8577
thr0.725,0.725,37.03,33.96,1.926,0.7871,0.8859,0.8692,0.8588
thr0.750,0.75,39.76,36.47,2.08,0.7878,0.9013,0.8692,0.8587
thr0.775,0.775,42.95,39.39,2.261,0.7873,0.8859,0.8859,0.8589
thr0.800,0.8,46.26,42.43,2.448,0.785,0.8692,0.8859,0.8586
thr0.825,0.825,49.97,45.83,2.658,0.7847,0.8692,0.8705,0.8589
thr0.850,0.85,53.92,49.45,2.881,0.7848,0.8692,0.8705,0.8605
thr0.875,0.875,58.41,53.58,3.136,0.7856,0.8692,0.8705,0.8616
thr0.900,0.9,63.51,58.25,3.424,0.786,0.8692,0.8538,0.8627
thr0.925,0.925,69.28,63.54,3.751,0.7859,0.8692,0.8705,0.8647
thr0.950,0.95,76.27,69.96,4.147,0.7849,0.8692,0.8705,0.8657
thr0.975,0.975,85.41,78.34,4.664,0.7848,0.8526,0.8538,0.8684
thr1.000,1.0,109.03,100.0,6.0,0.7847,0.8526,0.8538,0.8712
