name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7663,0.8026,0.7705,0.8544
thr0.525,0.525,21.08,19.34,1.023,0.7655,0.7872,0.7551,0.8537
thr0.550,0.55,21.66,19.86,1.056,0.7652,0.8192,0.7872,0.8532
thr0.575,0.575,22.36,20.51,1.096,0.7654,0.8192,0.7872,0.8521
thr0.600,0.6,23.15,21.23,1.14,0.7678,0.8192,0.7885,0.8522
thr0.625,0.625,24.01,22.02,1.189,0.7654,0.8038,0.7885,0.8511
thr0.650,0.65,25.0,22.93,1.245,0.7653,0.8038,0.8038,0.8511
thr0.675,0.675,26.17,24.0,1.311,0.7655,0.7872,0.7885,0.8514
thr0.700,0.7,27.39,25.12,1.38,0.7641,0.7705,0.7885,0.8501
thr0.725,0.725,28.9,26.5,1.466,0.7635,0.7551,0.7885,0.8492
thr0.750,0.75,30.46,27.94,1.554,0.7615,0.7551,0.7718,0.8489
thr0.775,0.775,32.3,29.63,1.658,0.7616,0.7551,0.7551,0.849
thr0.800,0.8,34.26,31.42,1.769,0.7603,0.7705,0.7551,0.8492
thr0.825,0.825,36.67,33.64,1.906,0.7582,0.7551,0.7551,0.8496
thr0.850,0.85,39.27,36.02,2.053,0.7568,0.7551,0.7551,0.8485
thr0.875,0.875,42.37,38.86,2.228,0.7543,0.7551,0.7551,0.8458
thr0.900,0.9,45.87,42.07,2.426,0.7527,0.7551,0.7551,0.8451
thr0.925,0.925,50.1,45.95,2.665,0.751,0.7551,0.7551,0.8459
thr0.950,0.95,55.91,51.28,2.994,0.7502,0.7718,0.7551,0.8452
thr0.975,0.975,64.98,59.6,3.508,0.7481,0.7718,0.7551,0.846
thr1.000,1.0,108.58,99.59,5.975,0.747,0.7718,0.7718,0.8531
