name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7594,0.8372,0.8372,0.8357
thr0.525,0.525,21.17,19.42,1.029,0.7618,0.8372,0.8372,0.8364
thr0.550,0.55,21.87,20.06,1.068,0.7637,0.8538,0.8372,0.8367
thr0.575,0.575,22.87,20.98,1.125,0.7658,0.8372,0.8372,0.8364
thr0.600,0.6,23.97,21.99,1.187,0.7656,0.8372,0.8372,0.8367
thr0.625,0.625,25.32,23.22,1.263,0.7662,0.8372,0.8372,0.8369
thr0.650,0.65,26.91,24.68,1.353,0.7663,0.8372,0.8372,0.8361
thr0.675,0.675,28.86,26.47,1.464,0.7657,0.8372,0.8372,0.8362
thr0.700,0.7,30.93,28.37,1.581,0.7651,0.8372,0.8372,0.8364
thr0.725,0.725,32.99,30.26,1.697,0.7646,0.8372,0.8372,0.8363
thr0.750,0.75,35.41,32.48,1.834,0.7634,0.8372,0.8372,0.8362
thr0.775,0.775,38.23,35.06,1.994,0.7631,0.8372,0.8372,0.8359
thr0.800,0.8,41.14,37.74,2.159,0.7626,0.8372,0.8372,0.8339
thr0.825,0.825,44.34,40.67,2.339,0.7625,0.8372,0.8372,0.8335
thr0.850,0.85,47.94,43.97,2.543,0.7624,0.8372,0.8372,0.8338
thr0.875,0.875,52.11,47.79,2.779,0.7616,0.8218,0.8372,0.8325
thr0.900,0.9,56.8,52.1,3.045,0.7608,0.8218,0.8372,0.8323
thr0.925,0.925,62.39,57.23,3.361,0.7596,0.8218,0.8372,0.8335
thr0.950,0.95,69.8,64.02,3.78,0.7594,0.8218,0.8372,0.8347
thr0.975,0.975,80.52,73.85,4.387,0.7594,0.8218,0.8372,0.8368
thr1.000,1.0,108.89,99.88,5.992,0.7593,0.8218,0.8372,0.8375
