name,threshold,mflops,compute_pct,mean_exit,window_acc,subject_acc,subject_acc_soft,roc_auc
thr0.500,0.5,20.67,18.96,1.0,0.7518,0.8038,0.8192,0.8534
thr0.525,0.525,21.11,19.36,1.025,0.754,0.8038,0.8038,0.8535
thr0.550,0.55,21.61,19.82,1.053,0.7545,0.8205,0.8038,0.8539
thr0.575,0.575,22.39,20.54,1.097,0.7558,0.8205,0.8205,0.8537
thr0.600,0.6,23.27,21.34,1.147,0.7567,0.8205,0.8205,0.8542
thr0.625,0.625,24.34,22.32,1.208,0.755,0.8205,0.8205,0.8528
thr0.650,0.65,25.64,23.52,1.281,0.7559,0.8051,0.8205,0.8526
thr0.675,0.675,27.17,24.92,1.368,0.7546,0.8051,0.8205,0.8522
thr0.700,0.7,28.77,26.38,1.458,0.755,0.8051,0.8205,0.8535
thr0.725,0.725,30.7,28.16,1.568,0.7557,0.7718,0.8205,0.8536
thr0.750,0.75,32.64,29.94,1.677,0.7544,0.7551,0.8205,0.853
thr0.775,0.775,34.71,31.84,1.795,0.7528,0.7551,0.7718,0.8523
thr0.800,0.8,37.23,34.15,1.937,0.7515,0.7551,0.7718,0.8514
thr0.825,0.825,39.79,36.49,2.082,0.7498,0.7551,0.7718,0.8513
thr0.850,0.85,42.76,39.22,2.25,0.7484,0.7551,0.7551,0.8507
thr0.875,0.875,46.05,42.23,2.436,0.7472,0.7551,0.7551,0.85
thr0.900,0.9,49.97,45.83,2.658,0.7458,0.7551,0.7551,0.8494
thr0.925,0.925,54.6,50.08,2.92,0.7439,0.7551,0.7551,0.8494
thr0.950,0.95,61.02,55.96,3.283,0.7429,0.7551,0.7551,0.8504
thr0.975,0.975,70.27,64.45,3.807,0.7426,0.7551,0.7551,0.8522
thr1.000,1.0,109.0,99.97,5.998,0.7417,0.7551,0.7551,0.8507
